Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,MVP 1.5x Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
134151-31716,QB,Dak,Dak Prescott,Prescott,20.104705810546875,17,12600,18900,DAL@NYG,DAL,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
134151-86631,WR,CeeDee,CeeDee Lamb,Lamb,13.953845684344952,13,11800,17700,DAL@NYG,DAL,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
134151-110246,WR,George,George Pickens,Pickens,15.3176466997932,17,11400,17100,DAL@NYG,DAL,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
134151-151966,QB,Jaxson,Jaxson Dart,Dart,17.612857273646764,14,10800,16200,DAL@NYG,NYG,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
134151-151761,WR,Malik,Malik Nabers,Nabers,12.774999618530273,4,10200,15300,DAL@NYG,NYG,DAL,Q,Knee - acl,,,,MVP - 1.5X Points/AnyFLEX
134151-93541,RB,Javonte,Javonte Williams,Williams,14.456250190734863,16,9800,14700,DAL@NYG,DAL,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
134151-183240,RB,Cam,Cam Skattebo,Skattebo,14.462499618530273,8,9200,13800,DAL@NYG,NYG,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
134151-89680,TE,Jake,Jake Ferguson,Ferguson,8.652941535500918,17,8600,12900,DAL@NYG,DAL,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
134151-87260,TE,Isaiah,Isaiah Likely,Likely,4.3818182511763135,11,8200,12300,DAL@NYG,NYG,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
134151-104576,QB,Sam,Sam Howell,Howell,,0,8000,12000,DAL@NYG,DAL,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
134151-24849,QB,Jameis,Jameis Winston,Winston,15.926666259765625,3,8000,12000,DAL@NYG,NYG,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
134151-156740,WR,Malachi,Malachi Fields,Fields,,0,7600,11400,DAL@NYG,NYG,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
134151-69777,WR,Darnell,Darnell Mooney,Mooney,4.420000203450521,15,7200,10800,DAL@NYG,NYG,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
134151-189471,K,Brandon,Brandon Aubrey,Aubrey,11.03529447667739,17,6800,10200,DAL@NYG,DAL,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
134151-12530,D,Dallas,Dallas Cowboys,Cowboys,3.588235294117647,17,6600,9900,DAL@NYG,DAL,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
134151-167762,K,Dominic,Dominic Zvada,Zvada,,0,6400,9600,DAL@NYG,NYG,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
134151-12543,D,New York,New York Giants,Giants,4.647058823529412,17,6200,9300,DAL@NYG,NYG,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
134151-201233,WR,Ryan,Ryan Flournoy,Flournoy,7.6923076923076925,13,5800,8700,DAL@NYG,DAL,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
134151-128810,TE,Theo,Theo Johnson,Johnson,7.020000203450521,15,5400,8100,DAL@NYG,NYG,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
134151-86047,RB,Malik,Malik Davis,Davis,4.733333163791233,9,4800,7200,DAL@NYG,DAL,NYG,IR,Hip,,,,MVP - 1.5X Points/AnyFLEX
134151-70603,RB,Devin,Devin Singletary,Singletary,5.8705884148092835,17,4400,6600,DAL@NYG,NYG,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
134151-86153,RB,Tyrone,Tyrone Tracy Jr.,Tracy Jr.,9.720000203450521,15,3800,5700,DAL@NYG,NYG,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
134151-94579,RB,Emari,Emari Demercado,Demercado,4.316666603088379,12,3600,5400,DAL@NYG,DAL,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
134151-90575,RB,Najee,Najee Harris,Harris,3.366666793823242,3,3400,5100,DAL@NYG,NYG,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
134151-60957,WR,KaVontae,KaVontae Turpin,Turpin,4.766666666666667,15,3000,4500,DAL@NYG,DAL,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
134151-31360,WR,Odell,Odell Beckham Jr.,Beckham Jr.,,0,2600,3900,DAL@NYG,NYG,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
134151-85842,TE,Brevyn,Brevyn Spann-Ford,Spann-Ford,1.625,12,2400,3600,DAL@NYG,DAL,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
134151-91417,TE,Luke,Luke Schoonmaker,Schoonmaker,1.4428571973528181,14,2000,3000,DAL@NYG,DAL,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
134151-185863,RB,Hunter,Hunter Luepke,Luepke,2.5416666666666665,12,1800,2700,DAL@NYG,DAL,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
134151-170769,WR,Camden,Camden Brown,Brown,,0,1600,2400,DAL@NYG,DAL,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
134151-112192,WR,Jonathan,Jonathan Mingo,Mingo,0.6,5,1400,2100,DAL@NYG,DAL,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
134151-80299,RB,Patrick,Patrick Ricard,Ricard,0.4000000059604645,4,1200,1800,DAL@NYG,NYG,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
134151-104577,WR,Gunner,Gunner Olszewski,Olszewski,1.9887499809265137,16,1000,1500,DAL@NYG,NYG,DAL,IR,Achilles,,,,MVP - 1.5X Points/AnyFLEX
134151-114054,WR,Dalen,Dalen Cambre,Cambre,0,3,1000,1500,DAL@NYG,NYG,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
134151-86793,QB,Jake,Jake Haener,Haener,,0,1000,1500,DAL@NYG,NYG,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
134151-133900,WR,Anthony,Anthony Smith,Smith,,0,1000,1500,DAL@NYG,DAL,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
134151-52495,WR,Braxton,Braxton Berrios,Berrios,1.3399999618530274,5,1000,1500,DAL@NYG,NYG,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
134151-87442,TE,Princeton,Princeton Fant,Fant,,0,1000,1500,DAL@NYG,DAL,NYG,IR,Knee - acl + mcl,,,,MVP - 1.5X Points/AnyFLEX
134151-157858,TE,Michael,Michael Trigg,Trigg,,0,1000,1500,DAL@NYG,DAL,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
134151-88752,WR,Charlie,Charlie Jones,Jones,0.46153846153846156,13,1000,1500,DAL@NYG,NYG,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
134151-152628,TE,Thomas,Thomas Fidone II,Fidone II,,0,1000,1500,DAL@NYG,NYG,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
134151-151993,TE,DJ,DJ Rogers,Rogers,,0,1000,1500,DAL@NYG,DAL,NYG,IR,Knee,,,,MVP - 1.5X Points/AnyFLEX
134151-129219,RB,Israel,Israel Abanikanda,Abanikanda,,0,1000,1500,DAL@NYG,DAL,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
134151-166977,WR,Jordan,Jordan Hudson,Hudson,,0,1000,1500,DAL@NYG,DAL,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
134151-139094,WR,Jalin,Jalin Hyatt,Hyatt,0.8571428571428571,7,1000,1500,DAL@NYG,NYG,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
134151-18009,TE,Chris,Chris Manhertz,Manhertz,0.40000001589457196,3,1000,1500,DAL@NYG,NYG,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
134151-85986,TE,James,James Mitchell,Mitchell,1.433333396911621,3,1000,1500,DAL@NYG,DAL,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
134151-225637,TE,Ben,Ben Mann,Mann,,0,1000,1500,DAL@NYG,NYG,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
134151-252655,RB,Grant,Grant Finley,Finley,,0,1000,1500,DAL@NYG,NYG,DAL,,,,,,MVP - 1.5X Points/AnyFLEX
134151-90870,WR,Calvin,Calvin Austin III,Austin III,4.866666666666666,15,1000,1500,DAL@NYG,NYG,DAL,IR,Knee,,,,MVP - 1.5X Points/AnyFLEX
134151-91390,QB,Joe,Joe Milton III,Milton III,3.0799999237060547,4,1000,1500,DAL@NYG,DAL,NYG,,,,,,MVP - 1.5X Points/AnyFLEX
