Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,MVP 1.5x Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
134152-57439,QB,Patrick,Patrick Mahomes,Mahomes,21.584285191127233,14,12400,18600,DEN@KC,KC,DEN,,,,,,MVP - 1.5X Points/AnyFLEX
134152-102965,QB,Bo,Bo Nix,Nix,19.605555216471355,18,11800,17700,DEN@KC,DEN,KC,,,,,,MVP - 1.5X Points/AnyFLEX
134152-111311,WR,Rashee,Rashee Rice,Rice,15.824999809265137,8,11400,17100,DEN@KC,KC,DEN,,,,,,MVP - 1.5X Points/AnyFLEX
134152-103342,RB,Kenneth,Kenneth Walker III,Walker III,12.930000305175781,20,10800,16200,DEN@KC,KC,DEN,,,,,,MVP - 1.5X Points/AnyFLEX
134152-57403,WR,Courtland,Courtland Sutton,Sutton,10.799999839381167,19,10200,15300,DEN@KC,DEN,KC,,,,,,MVP - 1.5X Points/AnyFLEX
134152-90573,WR,Jaylen,Jaylen Waddle,Waddle,10.319999694824219,16,9600,14400,DEN@KC,DEN,KC,,,,,,MVP - 1.5X Points/AnyFLEX
134152-87787,RB,J.K.,J.K. Dobbins,Dobbins,11.640000152587891,10,8800,13200,DEN@KC,DEN,KC,,,,,,MVP - 1.5X Points/AnyFLEX
134152-110484,RB,RJ,RJ Harvey,Harvey,10.531579268606086,19,8200,12300,DEN@KC,DEN,KC,,,,,,MVP - 1.5X Points/AnyFLEX
134152-60947,QB,Jarrett,Jarrett Stidham,Stidham,4.260000228881836,2,8000,12000,DEN@KC,DEN,KC,,,,,,MVP - 1.5X Points/AnyFLEX
134152-91591,QB,Justin,Justin Fields,Fields,15.962222629123264,9,8000,12000,DEN@KC,KC,DEN,,,,,,MVP - 1.5X Points/AnyFLEX
134152-158974,WR,Xavier,Xavier Worthy,Worthy,5.926666768391927,15,7600,11400,DEN@KC,KC,DEN,,,,,,MVP - 1.5X Points/AnyFLEX
134152-33076,TE,Travis,Travis Kelce,Kelce,9.129411585190716,17,7200,10800,DEN@KC,KC,DEN,,,,,,MVP - 1.5X Points/AnyFLEX
134152-12531,D,Denver,Denver Broncos,Broncos,8.631578947368421,19,6800,10200,DEN@KC,DEN,KC,,,,,,MVP - 1.5X Points/AnyFLEX
134152-48380,K,Wil,Wil Lutz,Lutz,8,19,6600,9900,DEN@KC,DEN,KC,,,,,,MVP - 1.5X Points/AnyFLEX
134152-12536,D,Kansas City,Kansas City Chiefs,Chiefs,5.411764705882353,17,6400,9600,DEN@KC,KC,DEN,,,,,,MVP - 1.5X Points/AnyFLEX
