Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,MVP 1.5x Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
134046-55050,RB,Christian,Christian McCaffrey,McCaffrey,21.784210205078125,19,13000,19500,SF@LAR,SF,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
134046-103020,WR,Puka,Puka Nacua,Nacua,21.05789505807977,19,12400,18600,SF@LAR,LAR,SF,,,,,,MVP - 1.5X Points/AnyFLEX
134046-6654,QB,Matthew,Matthew Stafford,Stafford,21.916000366210938,20,11400,17100,SF@LAR,LAR,SF,,,,,,MVP - 1.5X Points/AnyFLEX
134046-85607,QB,Brock,Brock Purdy,Purdy,19.869090687144887,11,10600,15900,SF@LAR,SF,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
134046-104433,RB,Kyren,Kyren Williams,Williams,15.080000305175782,20,10200,15300,SF@LAR,LAR,SF,,,,,,MVP - 1.5X Points/AnyFLEX
134046-32384,WR,Mike,Mike Evans,Evans,9.100000381469727,8,9400,14100,SF@LAR,SF,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
134046-45889,WR,Davante,Davante Adams,Adams,13.288234935087317,17,9000,13500,SF@LAR,LAR,SF,,,,,,MVP - 1.5X Points/AnyFLEX
134046-56018,WR,Deebo,Deebo Samuel Sr.,Samuel Sr.,9.512499809265137,16,8600,12900,SF@LAR,SF,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
134046-39793,TE,George,George Kittle,Kittle,11.425000508626303,12,8200,12300,SF@LAR,SF,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
134046-91583,QB,Stetson,Stetson Bennett IV,Bennett IV,,0,8000,12000,SF@LAR,LAR,SF,,,,,,MVP - 1.5X Points/AnyFLEX
134046-90584,QB,Mac,Mac Jones,Jones,12.158332824707031,12,8000,12000,SF@LAR,SF,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
134046-137967,RB,Blake,Blake Corum,Corum,6.965000152587891,20,7600,11400,SF@LAR,LAR,SF,,,,,,MVP - 1.5X Points/AnyFLEX
134046-152272,WR,De'Zhaun,De'Zhaun Stribling,Stribling,,0,7200,10800,SF@LAR,SF,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
134046-12538,D,Los Angeles,Los Angeles Rams,Rams,7.75,20,7000,10500,SF@LAR,LAR,SF,,,,,,MVP - 1.5X Points/AnyFLEX
134046-69307,K,Eddy,Eddy Pineiro,Pineiro,9.625,16,6800,10200,SF@LAR,SF,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
134046-12549,D,San Francisco,San Francisco 49ers,49ers,4.157894736842105,19,6600,9900,SF@LAR,SF,LAR,,,,,,MVP - 1.5X Points/AnyFLEX
134046-119643,K,Harrison,Harrison Mevis,Mevis,9.583333333333334,12,6400,9600,SF@LAR,LAR,SF,,,,,,MVP - 1.5X Points/AnyFLEX
