name,team,opp,salary,fppg,played,injury,inj_details,game,is_home,is_dome,team_implied,game_ou,spread,is_fav,fav_margin,opp_softness_rank,opp_tier,opp_fd_fpa,opp_rush_yds_allowed,opp_rush_td_allowed,rush_yds_ou,rush_att_ou,rec_ou,atd_prob,atd_odds,vegas_implied_fd,value_fd,composite_proj,salary_efficiency,vegas_grade,vegas_takeaway
Jahmyr Gibbs,DET,NO,9100,20.02,17,,,NO@DET,True,True,28.25,49.5,-7.0,True,7.0,19,NEUTRAL,18.6,100.7,0.61,113.0,21.0,4.0,0.72,-257,20.6,2.26,21.73,2.39,VERY_ELITE,Bellcow smash spot: 21.0 Carries O/U + 72% TD probability
Bijan Robinson,ATL,PIT,8800,20.72,17,,,ATL@PIT,False,False,19.5,42.5,3.5,False,-3.5,26,TOUGH,16.8,97.8,0.25,69.0,18.5,5.0,0.68,-213,17.2,1.95,15.77,1.79,VERY_ELITE,Bellcow smash spot: 18.5 Carries O/U + 68% TD probability
Jonathan Taylor,IND,BAL,8600,20.84,17,,,BAL@IND,True,True,22.0,47.5,3.5,False,-3.5,15,NEUTRAL,19.6,78.0,0.62,79.5,19.0,5.0,0.72,-257,18.5,2.15,18.73,2.18,VERY_ELITE,Bellcow smash spot: 19.0 Carries O/U + 72% TD probability
De'Von Achane,MIA,LV,8500,18.83,16,,,MIA@LV,False,True,19.0,41.5,3.5,False,-3.5,13,NEUTRAL,21.1,100.9,0.92,61.5,17.0,4.5,0.663,-197,15.75,1.85,16.27,1.91,VERY_ELITE,Bellcow smash spot: 17.0 Carries O/U + 66% TD probability
Derrick Henry,BAL,IND,8300,17.41,17,,,BAL@IND,False,True,25.5,47.5,-3.5,True,3.5,20,NEUTRAL,18.4,91.2,0.72,85.0,17.5,3.5,0.688,-221,16.95,2.04,17.93,2.16,VERY_ELITE,Bellcow smash spot: 17.5 Carries O/U + 68% TD probability
Saquon Barkley,PHI,WAS,8100,14.14,17,,,WAS@PHI,True,False,25.0,44.5,-5.5,True,5.5,3,SMASH,24.9,121.1,1.05,69.0,14.5,3.0,0.559,-127,14.0,1.73,17.52,2.16,VERY_ELITE,Bellcow smash spot: 14.5 Carries O/U + 55% TD probability
Bucky Irving,TB,CIN,7900,12.65,10,,,TB@CIN,False,False,23.5,50.5,3.5,False,-3.5,4,SMASH,24.6,113.2,0.7,51.5,11.5,3.0,0.5,-100,11.9,1.51,13.78,1.74,ELITE,High-volume RB1/RB2: 51.5 Rush Yds + 3.0 Rec O/U in favorable script
James Cook III,BUF,HOU,7800,17.63,19,,,BUF@HOU,False,True,23.0,44.5,-1.5,True,1.5,27,LOCKDOWN,17.4,73.5,0.65,74.5,17.0,4.0,0.697,-230,16.6,2.13,15.03,1.93,VERY_ELITE,Bellcow smash spot: 17.0 Carries O/U + 69% TD probability
Chase Brown,CIN,TB,7500,15.12,17,,,TB@CIN,True,False,27.0,50.5,-3.5,True,3.5,16,NEUTRAL,19.4,78.1,0.5,77.0,15.0,3.0,0.598,-149,15.0,2.0,16.57,2.21,VERY_ELITE,Bellcow smash spot: 15.0 Carries O/U + 59% TD probability
Omarion Hampton,LAC,ARI,7300,12.26,10,,,ARI@LAC,True,False,28.75,47.5,-10.0,True,10.0,2,SMASH,25.3,117.9,1.03,74.0,13.5,2.5,0.485,106,13.45,1.84,17.12,2.35,ELITE,High-volume RB1/RB2: 74.0 Rush Yds + 2.5 Rec O/U in favorable script
