Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,MVP 1.5x Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
134265-62239,QB,Josh,Josh Allen,Allen,38.65999984741211,1,13200,19800,DET@BUF,BUF,DET,,,,,,MVP - 1.5X Points/AnyFLEX
134265-129368,RB,Jahmyr,Jahmyr Gibbs,Gibbs,34.099998474121094,1,12400,18600,DET@BUF,DET,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
134265-86997,WR,Amon-Ra,Amon-Ra St. Brown,St. Brown,23.700000762939453,1,11600,17400,DET@BUF,DET,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
134265-38435,QB,Jared,Jared Goff,Goff,16.440000534057617,1,10600,15900,DET@BUF,DET,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
134265-91626,RB,James,James Cook III,Cook III,8.399999618530273,1,10200,15300,DET@BUF,BUF,DET,,,,,,MVP - 1.5X Points/AnyFLEX
134265-111631,WR,Jameson,Jameson Williams,Williams,6.5,1,9200,13800,DET@BUF,DET,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
134265-63043,WR,DJ,DJ Moore,Moore,21.5,1,8600,12900,DET@BUF,BUF,DET,,,,,,MVP - 1.5X Points/AnyFLEX
134265-86518,WR,Khalil,Khalil Shakir,Shakir,7,1,8200,12300,DET@BUF,BUF,DET,,,,,,MVP - 1.5X Points/AnyFLEX
134265-40407,QB,Joshua,Joshua Dobbs,Dobbs,0.5249999761581421,4,8000,12000,DET@BUF,DET,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
134265-53095,QB,Kyle,Kyle Allen,Allen,-0.15000000596046448,2,8000,12000,DET@BUF,BUF,DET,,,,,,MVP - 1.5X Points/AnyFLEX
134265-145558,TE,Dalton,Dalton Kincaid,Kincaid,18.5,1,7600,11400,DET@BUF,BUF,DET,,,,,,MVP - 1.5X Points/AnyFLEX
134265-105646,TE,Sam,Sam LaPorta,LaPorta,7.300000190734863,1,7400,11100,DET@BUF,DET,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
134265-65128,K,Tyler,Tyler Bass,Bass,13,1,6800,10200,DET@BUF,BUF,DET,,,,,,MVP - 1.5X Points/AnyFLEX
134265-140176,K,Jake,Jake Bates,Bates,7,1,6600,9900,DET@BUF,DET,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
134265-12526,D,Buffalo,Buffalo Bills,Bills,6,1,6400,9600,DET@BUF,BUF,DET,,,,,,MVP - 1.5X Points/AnyFLEX
134265-12532,D,Detroit,Detroit Lions,Lions,10,1,6200,9300,DET@BUF,DET,BUF,,,,,,MVP - 1.5X Points/AnyFLEX
134265-157467,WR,Keon,Keon Coleman,Coleman,0.6000000238418579,1,5600,8400,DET@BUF,BUF,DET,,,,,,MVP - 1.5X Points/AnyFLEX
