name,team,opp,salary,sal_rank_overall,sal_pct_overall,injury,inj_details,db_status,db_proj,team_implied,game_ou,spread,fav_margin,is_fav,is_home,is_dome,opp_soft_rank,opp_tier,opp_tier_label,opp_fd_fpa,opp_rush_yds_allowed,opp_rush_td_allowed,rush_yds_ou,rush_att_ou,rec_ou,rec_yds_ou,atd_prob,atd_odds,fd_implied,blended_proj,final_composite,value_composite,value_db,vegas_grade,vegas_takeaway
Jahmyr Gibbs,DET,NO,9100,1,100.0,,,ACTIVE,22.5,28.25,49.5,-7.0,7.0,True,True,True,19.0,NEUTRAL,Neutral Matchup,18.6,100.7,0.61,126.5,23.5,4.5,34.0,0.72,-257,22.65,22.59,24.41,2.68,2.47,VERY_ELITE,Bellcow smash spot: 23.5 Carries O/U + 72% TD probability
Omarion Hampton,LAC,ARI,7300,29,96.0,,,ACTIVE,17.58,28.75,47.5,-10.0,10.0,True,True,False,2.0,SMASH,Elite Smash Matchup,25.3,117.9,1.03,104.0,19.0,3.5,26.0,0.695,-228,18.95,18.4,22.77,3.12,2.41,VERY_ELITE,Bellcow smash spot: 19.0 Carries O/U + 69% TD probability
Saquon Barkley,PHI,WAS,8100,12,98.4,,,ACTIVE,17.66,25.0,44.5,-5.5,5.5,True,True,False,3.0,SMASH,Elite Smash Matchup,24.9,121.1,1.05,86.0,18.0,3.5,26.0,0.698,-231,17.15,17.35,20.87,2.58,2.18,VERY_ELITE,Bellcow smash spot: 18.0 Carries O/U + 69% TD probability
Ashton Jeanty,LV,MIA,7000,37,94.9,Q,Ankle,QUESTIONABLE,18.06,22.5,41.5,-3.5,3.5,True,True,True,8.0,FAVORABLE,Favorable Matchup,21.9,102.7,0.72,77.0,18.0,4.0,30.0,0.714,-250,17.0,17.42,20.19,2.88,2.58,VERY_ELITE,Bellcow smash spot: 18.0 Carries O/U + 71% TD probability
Chase Brown,CIN,TB,7500,24,96.7,,,ACTIVE,16.03,27.0,50.5,-3.5,3.5,True,True,False,16.0,NEUTRAL,Neutral Matchup,19.4,78.1,0.5,82.5,16.0,3.5,26.0,0.634,-173,16.45,16.28,17.85,2.38,2.14,VERY_ELITE,Bellcow smash spot: 16.0 Carries O/U + 63% TD probability
Derrick Henry,BAL,IND,8300,9,98.8,,,ACTIVE,16.37,25.5,47.5,-3.5,3.5,True,False,True,20.0,NEUTRAL,Neutral Matchup,18.4,91.2,0.72,80.0,16.5,3.5,26.0,0.647,-183,16.25,16.3,17.27,2.08,1.97,VERY_ELITE,Bellcow smash spot: 16.5 Carries O/U + 64% TD probability
Jonathan Taylor,IND,BAL,8600,5,99.4,,,ACTIVE,17.77,22.0,47.5,3.5,-3.5,False,True,True,15.0,NEUTRAL,Neutral Matchup,19.6,78.0,0.62,67.0,16.0,4.0,30.0,0.703,-237,15.9,16.65,16.87,1.96,2.07,VERY_ELITE,Bellcow smash spot: 16.0 Carries O/U + 70% TD probability
De'Von Achane,MIA,LV,8500,7,99.2,,,ACTIVE,18.22,19.0,41.5,3.5,-3.5,False,False,True,13.0,NEUTRAL,Neutral Matchup,21.1,100.9,0.92,60.0,16.5,4.0,30.0,0.663,-197,15.0,16.29,16.82,1.98,2.14,VERY_ELITE,Bellcow smash spot: 16.5 Carries O/U + 66% TD probability
Bijan Robinson,ATL,PIT,8800,4,99.6,,,ACTIVE,19.28,19.5,42.5,3.5,-3.5,False,False,False,26.0,TOUGH,Tough Defense,16.8,97.8,0.25,65.0,17.5,4.5,34.0,0.68,-213,16.25,17.46,16.03,1.82,2.19,VERY_ELITE,Bellcow smash spot: 17.5 Carries O/U + 68% TD probability
D'Andre Swift,CHI,CAR,6600,53,92.6,Q,Abdomen,QUESTIONABLE,12.31,25.25,47.5,-3.0,3.0,True,False,False,7.0,FAVORABLE,Favorable Matchup,22.4,108.1,1.02,58.0,12.0,2.5,19.0,0.487,105,11.85,12.03,14.96,2.27,1.87,ELITE,High-volume RB1/RB2: 58.0 Rush Yds + 2.5 Rec O/U in favorable script
Breece Hall,NYJ,TEN,6900,40,94.5,Q,Groin,QUESTIONABLE,16.49,19.0,39.5,1.5,-1.5,False,False,False,21.0,TOUGH,Tough Defense,18.7,84.9,0.91,56.0,15.5,3.5,26.0,0.652,-187,13.85,14.91,14.24,2.06,2.39,VERY_ELITE,Bellcow smash spot: 15.5 Carries O/U + 65% TD probability
Bucky Irving,TB,CIN,7900,15,97.9,,,ACTIVE,12.44,23.5,50.5,3.5,-3.5,False,False,False,4.0,SMASH,Elite Smash Matchup,24.6,113.2,0.7,49.5,11.0,3.0,22.5,0.492,103,11.7,12.0,13.88,1.76,1.57,ELITE,High-volume RB1/RB2: 49.5 Rush Yds + 3.0 Rec O/U in favorable script
David Montgomery,HOU,BUF,6300,68,90.5,,,ACTIVE,12.67,21.5,44.5,1.5,-1.5,False,True,True,10.0,FAVORABLE,Favorable Matchup,21.5,104.7,0.98,49.0,12.0,3.0,22.5,0.501,-100,11.7,12.09,13.06,2.07,2.01,ELITE,High-volume RB1/RB2: 49.0 Rush Yds + 3.0 Rec O/U in favorable script
Tony Pollard,TEN,NYJ,6000,80,84.7,,,ACTIVE,11.54,20.5,39.5,-1.5,1.5,True,True,False,1.0,SMASH,Elite Smash Matchup,27.6,111.3,1.09,43.0,11.0,2.5,19.0,0.456,119,10.15,10.71,13.03,2.17,1.92,ELITE,High-volume RB1/RB2: 43.0 Rush Yds + 2.5 Rec O/U in favorable script
Kyle Monangai,CHI,CAR,5600,167,76.8,Q,Knee,QUESTIONABLE,10.25,25.25,47.5,-3.0,3.0,True,False,False,7.0,FAVORABLE,Favorable Matchup,22.4,108.1,1.02,48.0,10.0,2.0,15.0,0.405,147,9.7,9.92,12.85,2.29,1.83,GOOD,Solid Flex RB: 10.0 Carries O/U; dependable touch floor
Jaylen Warren,PIT,ATL,6500,58,91.8,,,ACTIVE,12.62,23.0,42.5,-3.5,3.5,True,True,False,22.0,TOUGH,Tough Defense,18.4,97.4,0.46,55.0,12.5,2.5,19.0,0.499,100,11.65,12.04,12.72,1.96,1.94,ELITE,High-volume RB1/RB2: 55.0 Rush Yds + 2.5 Rec O/U in favorable script
Rico Dowdle,PIT,ATL,6100,77,89.5,,,ACTIVE,12.49,23.0,42.5,-3.5,3.5,True,True,False,22.0,TOUGH,Tough Defense,18.4,97.4,0.46,55.0,12.5,2.5,19.0,0.494,102,11.65,11.99,12.67,2.08,2.05,ELITE,High-volume RB1/RB2: 55.0 Rush Yds + 2.5 Rec O/U in favorable script
James Cook III,BUF,HOU,7800,18,97.6,,,ACTIVE,14.88,23.0,44.5,-1.5,1.5,True,False,True,27.0,LOCKDOWN,Brutal Lockdown,17.4,73.5,0.65,63.5,14.5,3.0,22.5,0.588,-143,13.6,14.11,12.54,1.61,1.91,VERY_ELITE,Bellcow smash spot: 14.5 Carries O/U + 58% TD probability
Kenny Gainwell,TB,CIN,5500,174,75.9,,,ACTIVE,10.79,23.5,50.5,3.5,-3.5,False,False,False,4.0,SMASH,Elite Smash Matchup,24.6,113.2,0.7,42.5,9.5,2.5,19.0,0.427,134,9.95,10.29,12.17,2.21,1.96,ELITE,High-volume RB1/RB2: 42.5 Rush Yds + 2.5 Rec O/U in favorable script
Travis Etienne Jr.,NO,DET,6800,43,94.0,,,ACTIVE,14.96,21.25,49.5,7.0,-7.0,False,False,True,23.0,TOUGH,Tough Defense,18.5,94.0,0.75,50.5,12.5,3.5,26.0,0.591,-144,12.95,13.75,11.58,1.7,2.2,ELITE,High-volume RB1/RB2: 50.5 Rush Yds + 3.5 Rec O/U in favorable script
Tyjae Spears,TEN,NYJ,5000,212,70.3,,,ACTIVE,9.35,20.5,39.5,-1.5,1.5,True,True,False,1.0,SMASH,Elite Smash Matchup,27.6,111.3,1.09,35.0,9.0,2.0,15.0,0.37,170,8.2,8.66,10.98,2.2,1.87,AVERAGE,Committee rotation: 9.0 Carries O/U; TD-dependent fantasy output
Keaton Mitchell,LAC,ARI,4400,296,58.6,Q,Undisclosed,QUESTIONABLE,6.21,28.75,47.5,-10.0,10.0,True,True,False,2.0,SMASH,Elite Smash Matchup,25.3,117.9,1.03,38.5,7.0,1.0,7.5,0.246,307,6.6,6.44,10.81,2.46,1.41,AVERAGE,Committee rotation: 7.0 Carries O/U; TD-dependent fantasy output
