id,name,pos,team,opp,salary,fppg,proj,team_implied,game_ou,spread,soft_rank
133104-129368,Jahmyr Gibbs,RB,DET,NO,9100,20.02352905273437,24.96,28.25,49.5,-7.0,19
133104-85701,Ja'Marr Chase,WR,CIN,TB,8900,17.006250381469727,21.02,27.0,50.5,-3.5,18
133104-62239,Josh Allen,QB,BUF,HOU,8900,24.32000054253472,18.25,23.0,44.5,-1.5,27
133104-136855,Bijan Robinson,RB,ATL,PIT,8800,20.723528693704043,17.52,19.5,42.5,3.5,26
133104-89675,Jonathan Taylor,RB,IND,BAL,8600,20.84117575252757,17.95,22.0,47.5,3.5,15
133104-86997,Amon-Ra St. Brown,WR,DET,NO,8600,16.5,19.13,28.25,49.5,-7.0,27
133104-138820,De'Von Achane,RB,MIA,LV,8500,18.831249237060547,17.89,19.0,41.5,3.5,13
133104-63115,Lamar Jackson,QB,BAL,IND,8400,17.066153893103966,20.43,25.5,47.5,-3.5,13
133104-39280,Derrick Henry,RB,BAL,IND,8300,17.41176470588235,18.03,25.5,47.5,-3.5,20
133104-69531,Jalen Hurts,QB,PHI,WAS,8300,18.834117216222428,23.32,25.0,44.5,-5.5,4
133104-63336,Joe Burrow,QB,CIN,TB,8200,18.1825008392334,21.14,27.0,50.5,-3.5,2
133104-85671,Justin Jefferson,WR,MIN,GB,8100,9.911764705882351,17.88,24.0,46.5,-1.5,14
133104-64401,Saquon Barkley,RB,PHI,WAS,8100,14.141176111557904,21.23,25.0,44.5,-5.5,3
133104-152113,Caleb Williams,QB,CHI,CAR,8000,19.67894704718339,16.02,25.25,47.5,-3.0,26
133104-152664,Bucky Irving,RB,TB,CIN,7900,12.65,14.31,23.5,50.5,3.5,4
133104-112745,Drake London,WR,ATL,PIT,7900,15.241666158040363,15.5,19.5,42.5,3.5,8
133104-102785,Jayden Daniels,QB,WAS,PHI,7900,16.754285539899552,15.47,19.5,44.5,5.5,22
133104-91626,James Cook III,RB,BUF,HOU,7800,17.62631546823602,13.87,23.0,44.5,-1.5,27
133104-38435,Jared Goff,QB,DET,NO,7800,19.00352926815257,15.85,28.25,49.5,-7.0,29
133104-91419,Nico Collins,WR,HOU,BUF,7700,12.706250190734863,14.11,21.5,44.5,1.5,28
133104-89951,Trevor Lawrence,QB,JAC,CLE,7700,20.808888753255207,19.81,24.5,40.5,-8.5,30
133104-69189,Justin Herbert,QB,LAC,ARI,7600,18.937647202435663,21.44,28.75,47.5,-10.0,10
133104-91750,Trey McBride,TE,ARI,LAC,7600,15.405881993910846,12.16,18.75,47.5,10.0,28
133104-89493,Chase Brown,RB,CIN,TB,7500,15.123529770795036,18.54,27.0,50.5,-3.5,16
133104-90576,DeVonta Smith,WR,PHI,WAS,7500,10.016666836208769,16.44,25.0,44.5,-5.5,9
133104-41535,Baker Mayfield,QB,TB,CIN,7500,16.995294907513788,17.14,23.5,50.5,3.5,12
133104-69017,Jordan Love,QB,GB,MIN,7400,17.510000228881836,13.13,22.5,46.5,1.5,32
133104-87770,Chris Olave,WR,NO,DET,7400,14.25,16.22,21.25,49.5,7.0,3
133104-63519,Daniel Jones,QB,IND,BAL,7300,18.495384803185097,15.82,22.0,47.5,3.5,11
133104-174215,Omarion Hampton,RB,LAC,ARI,7300,12.259999847412107,22.21,28.75,47.5,-10.0,2
133104-112295,Zay Flowers,WR,BAL,IND,7300,12.31176488539752,16.86,25.5,47.5,-3.5,2
133104-89981,Tee Higgins,WR,CIN,TB,7200,12.340000406901042,14.03,27.0,50.5,-3.5,18
133104-63484,Kyler Murray,QB,MIN,GB,7200,16.155999755859376,16.45,24.0,46.5,-1.5,20
133104-111631,Jameson Williams,WR,DET,NO,7100,11.72941140567555,12.43,28.25,49.5,-7.0,27
