Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
133646-129368,RB,Jahmyr,Jahmyr Gibbs,Gibbs,20.023529052734375,17,9100,NO@DET,DET,NO,,,,,,RB/FLEX
133646-85701,WR,Ja'Marr,Ja'Marr Chase,Chase,17.006250381469727,16,8900,TB@CIN,CIN,TB,Q,Knee,,,,WR/FLEX
133646-62239,QB,Josh,Josh Allen,Allen,24.32000054253472,18,8900,BUF@HOU,BUF,HOU,,,,,,QB
133646-136855,RB,Bijan,Bijan Robinson,Robinson,20.723528693704043,17,8800,ATL@PIT,ATL,PIT,,,,,,RB/FLEX
133646-89675,RB,Jonathan,Jonathan Taylor,Taylor,20.841175752527572,17,8600,BAL@IND,IND,BAL,,,,,,RB/FLEX
133646-86997,WR,Amon-Ra,Amon-Ra St. Brown,St. Brown,16.5,17,8600,NO@DET,DET,NO,,,,,,WR/FLEX
133646-63115,QB,Lamar,Lamar Jackson,Jackson,17.066153893103966,13,8400,BAL@IND,BAL,IND,,,,,,QB
133646-39280,RB,Derrick,Derrick Henry,Henry,17.41176470588235,17,8300,BAL@IND,BAL,IND,,,,,,RB/FLEX
133646-63336,QB,Joe,Joe Burrow,Burrow,18.1825008392334,8,8200,TB@CIN,CIN,TB,,,,,,QB
133646-152113,QB,Caleb,Caleb Williams,Williams,19.67894704718339,19,8000,CHI@CAR,CHI,CAR,,,,,,QB
133646-152664,RB,Bucky,Bucky Irving,Irving,12.65,10,7900,TB@CIN,TB,CIN,,,,,,RB/FLEX
133646-112745,WR,Drake,Drake London,London,15.241666158040365,12,7900,ATL@PIT,ATL,PIT,,,,,,WR/FLEX
133646-91626,RB,James,James Cook III,Cook III,17.62631546823602,19,7800,BUF@HOU,BUF,HOU,,,,,,RB/FLEX
133646-38435,QB,Jared,Jared Goff,Goff,19.003529268152572,17,7800,NO@DET,DET,NO,,,,,,QB
133646-91419,WR,Nico,Nico Collins,Collins,12.706250190734863,16,7700,BUF@HOU,HOU,BUF,,,,,,WR/FLEX
133646-89951,QB,Trevor,Trevor Lawrence,Lawrence,20.808888753255207,18,7700,CLE@JAC,JAC,CLE,,,,,,QB
133646-89493,RB,Chase,Chase Brown,Brown,15.123529770795036,17,7500,TB@CIN,CIN,TB,,,,,,RB/FLEX
133646-41535,QB,Baker,Baker Mayfield,Mayfield,16.995294907513788,17,7500,TB@CIN,TB,CIN,,,,,,QB
133646-87770,WR,Chris,Chris Olave,Olave,14.25,16,7400,NO@DET,NO,DET,,,,,,WR/FLEX
133646-63519,QB,Daniel,Daniel Jones,Jones,18.495384803185097,13,7300,BAL@IND,IND,BAL,,,,,,QB
133646-112295,WR,Zay,Zay Flowers,Flowers,12.311764885397519,17,7300,BAL@IND,BAL,IND,Q,Lower body,,,,WR/FLEX
133646-89981,WR,Tee,Tee Higgins,Higgins,12.340000406901042,15,7200,TB@CIN,CIN,TB,Q,Heel,,,,WR/FLEX
133646-111631,WR,Jameson,Jameson Williams,Williams,11.72941140567555,17,7100,NO@DET,DET,NO,,,,,,WR/FLEX
133646-6894,QB,Aaron,Aaron Rodgers,Rodgers,13.907058715820312,17,7100,ATL@PIT,PIT,ATL,,,,,,QB
133646-73048,WR,DK,DK Metcalf,Metcalf,10.556249618530273,16,7000,ATL@PIT,PIT,ATL,Q,Undisclosed,,,,WR/FLEX
133646-103564,WR,Garrett,Garrett Wilson,Wilson,11.642857142857142,7,6900,NYJ@TEN,NYJ,TEN,,,,,,WR/FLEX
133646-88431,QB,Tyler,Tyler Shough,Shough,15.450909701260654,11,6900,NO@DET,NO,DET,,,,,,QB
133646-103064,RB,Breece,Breece Hall,Hall,12.603750228881836,16,6900,NYJ@TEN,NYJ,TEN,Q,Groin,,,,RB/FLEX
133646-129471,QB,C.J.,C.J. Stroud,Stroud,14.882499694824219,16,6800,BUF@HOU,HOU,BUF,,,,,,QB
133646-167620,WR,Tetairoa,Tetairoa McMillan,McMillan,10.722222222222221,18,6800,CHI@CAR,CAR,CHI,,,,,,WR/FLEX
133646-119606,QB,Bryce,Bryce Young,Young,15.117647058823529,17,6800,CHI@CAR,CAR,CHI,,,,,,QB
133646-89956,RB,Travis,Travis Etienne Jr.,Etienne Jr.,14.555555555555555,18,6800,NO@DET,NO,DET,,,,,,RB/FLEX
133646-120033,WR,Rome,Rome Odunze,Odunze,10.064285278320312,14,6700,CHI@CAR,CHI,CAR,Q,Leg,,,,WR/FLEX
133646-160620,RB,Bhayshul,Bhayshul Tuten,Tuten,5.543749809265137,16,6700,CLE@JAC,JAC,CLE,Q,Illness,,,,RB/FLEX
133646-26483,QB,Geno,Geno Smith,Smith,12.926666259765625,15,6700,NYJ@TEN,NYJ,TEN,,,,,,QB
133646-137516,WR,Parker,Parker Washington,Washington,10.888235653147978,17,6600,CLE@JAC,JAC,CLE,,,,,,WR/FLEX
